"","PRIM_STATE","AREA_TYPE","NAICS","NAICS_TITLE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE"
"1","AL","2","000000","Cross-industry","00-0000","All","total",1903210,0.5,22.52,46840,0.6
"2","AK","2","000000","Cross-industry","00-0000","All","total",296300,1.1,29.69,61760,0.8
"3","AZ","2","000000","Cross-industry","00-0000","All","total",2835110,0.5,25.67,53400,0.7
"4","AR","2","000000","Cross-industry","00-0000","All","total",1177860,0.7,21.53,44780,1.3
"5","CA","2","000000","Cross-industry","00-0000","All","total",16430660,0.3,31.61,65740,0.5
"6","CO","2","000000","Cross-industry","00-0000","All","total",2578000,0.5,29.25,60840,0.5
"7","CT","2","000000","Cross-industry","00-0000","All","total",1540870,0.8,31.46,65450,0.9
"8","DE","2","000000","Cross-industry","00-0000","All","total",426380,1.4,27.26,56700,1.3
"9","DC","2","000000","Cross-industry","00-0000","All","total",687160,0.5,45.83,95330,5.6
"10","FL","2","000000","Cross-industry","00-0000","All","total",8441750,0.4,24.05,50020,0.4
"11","GA","2","000000","Cross-industry","00-0000","All","total",4308600,0.4,24.97,51940,0.5
"12","HI","2","000000","Cross-industry","00-0000","All","total",574010,0.8,27.98,58190,1.8
"13","ID","2","000000","Cross-industry","00-0000","All","total",718820,0.8,22.5,46800,1.1
"14","IL","2","000000","Cross-industry","00-0000","All","total",5627660,0.4,27.92,58070,0.6
"15","IN","2","000000","Cross-industry","00-0000","All","total",2918340,0.5,23.39,48650,0.6
"16","IA","2","000000","Cross-industry","00-0000","All","total",1469920,0.6,23.69,49280,0.8
"17","KS","2","000000","Cross-industry","00-0000","All","total",1331950,0.8,23.37,48610,0.6
"18","KY","2","000000","Cross-industry","00-0000","All","total",1782580,0.7,22.11,46000,0.6
"19","LA","2","000000","Cross-industry","00-0000","All","total",1801290,0.5,22.34,46460,0.7
"20","ME","2","000000","Cross-industry","00-0000","All","total",575220,0.6,24.62,51220,0.6
"21","MD","2","000000","Cross-industry","00-0000","All","total",2523030,0.6,30.58,63610,0.6
"22","MA","2","000000","Cross-industry","00-0000","All","total",3349800,0.4,33.66,70010,0.7
"23","MI","2","000000","Cross-industry","00-0000","All","total",3924010,0.5,25.67,53390,0.5
"24","MN","2","000000","Cross-industry","00-0000","All","total",2708760,0.5,28.23,58720,0.8
"25","MS","2","000000","Cross-industry","00-0000","All","total",1076820,0.7,20,41600,0.8
"26","MO","2","000000","Cross-industry","00-0000","All","total",2691630,0.5,24.1,50140,0.7
"27","MT","2","000000","Cross-industry","00-0000","All","total",455450,0.9,22.73,47270,1
"28","NE","2","000000","Cross-industry","00-0000","All","total",942550,0.8,24.16,50260,0.7
"29","NV","2","000000","Cross-industry","00-0000","All","total",1250860,0.6,24.21,50360,1.1
"30","NH","2","000000","Cross-industry","00-0000","All","total",619440,0.9,27.27,56730,0.8
"31","NJ","2","000000","Cross-industry","00-0000","All","total",3782730,0.4,30.62,63690,0.6
"32","NM","2","000000","Cross-industry","00-0000","All","total",785720,0.7,23.87,49650,2.1
"33","NY","2","000000","Cross-industry","00-0000","All","total",8691440,0.3,32.62,67850,0.5
"34","NC","2","000000","Cross-industry","00-0000","All","total",4288450,0.3,24.52,51010,0.5
"35","ND","2","000000","Cross-industry","00-0000","All","total",400040,1.5,25.22,52450,0.6
"36","OH","2","000000","Cross-industry","00-0000","All","total",5137540,0.4,24.77,51510,0.5
"37","OK","2","000000","Cross-industry","00-0000","All","total",1562780,0.7,22.76,47340,1
"38","OR","2","000000","Cross-industry","00-0000","All","total",1806950,0.4,27.34,56880,0.9
"39","PA","2","000000","Cross-industry","00-0000","All","total",5512120,0.4,25.94,53950,0.4
"40","RI","2","000000","Cross-industry","00-0000","All","total",442910,0.7,28.96,60240,1.5
"41","SC","2","000000","Cross-industry","00-0000","All","total",2015260,0.5,22.22,46230,0.5
"42","SD","2","000000","Cross-industry","00-0000","All","total",411250,0.5,21.62,44960,0.7
"43","TN","2","000000","Cross-industry","00-0000","All","total",2903810,0.5,22.85,47530,0.6
"44","TX","2","000000","Cross-industry","00-0000","All","total",12102370,0.3,25.19,52400,0.4
"45","UT","2","000000","Cross-industry","00-0000","All","total",1489020,0.6,24.73,51430,0.8
"46","VT","2","000000","Cross-industry","00-0000","All","total",281080,1,25.68,53420,0.9
"47","VA","2","000000","Cross-industry","00-0000","All","total",3701220,0.5,28.92,60160,0.6
"48","WA","2","000000","Cross-industry","00-0000","All","total",3195200,0.5,32.15,66870,2
"49","WV","2","000000","Cross-industry","00-0000","All","total",650010,1,21.82,45380,0.7
"50","WI","2","000000","Cross-industry","00-0000","All","total",2709940,0.6,24.64,51250,0.5
"51","WY","2","000000","Cross-industry","00-0000","All","total",261690,0.8,24.61,51180,0.6
"52","AL","2","000000","Cross-industry","11-0000","Management","major",87110,1.2,52.9,110040,0.7
