"","PRIM_STATE","AREA_TYPE","NAICS","NAICS_TITLE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE"
"1","US","1","11","Agriculture","11-0000","Management","major",8770,9.6,49.46,102880,6.2
"2","US","1","11","Agriculture","13-0000","Finance","major",2400,10.9,31.29,65080,3.9
"3","US","1","11","Agriculture","15-0000","CS and Math","major",440,13.9,36.97,76900,4.6
"4","US","1","11","Agriculture","17-0000","Architecture and Engineering","major",140,26.2,33.64,69970,4.1
"5","US","1","11","Agriculture","19-0000","Science","major",3570,12.6,29.51,61390,5.4
"6","US","1","11","Agriculture","25-0000","Education","major",480,17.4,17.19,35750,4.8
"7","US","1","11","Agriculture","27-0000","Arts","major",90,21.1,23.81,49520,5.2
"8","US","1","11","Agriculture","29-0000","Healthcare Practitioners","major",100,27.8,36.64,76210,10.7
"9","US","1","11","Agriculture","31-0000","Healthcare Support","major",60,39.6,13.4,27880,15.1
"10","US","1","11","Agriculture","33-0000","Protective Service","major",450,10.4,16.05,33380,2.5
"11","US","1","11","Agriculture","35-0000","Food","major",70,27.1,16.22,33740,8.7
"12","US","1","11","Agriculture","37-0000","Building","major",4770,10,18.01,37450,6.1
"13","US","1","11","Agriculture","39-0000","Personal Care","major",5740,5.7,18.15,37750,3.6
"14","US","1","11","Agriculture","41-0000","Sales","major",2870,8.6,32.72,68060,3.7
"15","US","1","11","Agriculture","43-0000","Administry","major",19380,3.6,18.67,38830,1.1
"16","US","1","11","Agriculture","45-0000","Farming","major",319700,1.6,15.6,32450,0.6
"17","US","1","11","Agriculture","47-0000","Install","major",880,29.1,21.94,45640,5
"18","US","1","11","Agriculture","49-0000","Maintenance","major",8870,4.2,21.31,44320,1.3
"19","US","1","11","Agriculture","51-0000","Production","major",9540,7,17.15,35680,1.6
"20","US","1","11","Agriculture","53-0000","Transportation","major",41610,4.4,18,37450,1.3
"21","US","1","21","Traditional Energy","11-0000","Management","major",37320,2.3,68.52,142510,1.3
"22","US","1","21","Traditional Energy","13-0000","Finance","major",29100,3.2,43.02,89470,1.3
"23","US","1","21","Traditional Energy","15-0000","CS and Math","major",11800,8.6,54.24,112830,3.6
"24","US","1","21","Traditional Energy","17-0000","Architecture and Engineering","major",29250,3.7,54.91,114220,1.6
"25","US","1","21","Traditional Energy","19-0000","Science","major",15350,4,44.44,92430,2.5
"26","US","1","21","Traditional Energy","23-0000","Legal","major",2430,11.9,50.39,104810,4.1
"27","US","1","21","Traditional Energy","27-0000","Arts","major",470,8.8,38.43,79940,3.4
"28","US","1","21","Traditional Energy","29-0000","Healthcare Practitioners","major",170,11.9,42.95,89340,14.9
"29","US","1","21","Traditional Energy","33-0000","Protective Service","major",1140,11.9,18.72,38940,3.7
"30","US","1","21","Traditional Energy","35-0000","Food","major",130,14.8,15.99,33260,5.4
"31","US","1","21","Traditional Energy","37-0000","Building","major",850,9.8,16.24,33790,3.3
"32","US","1","21","Traditional Energy","39-0000","Personal Care","major",30,17.7,21.92,45600,9.6
"33","US","1","21","Traditional Energy","41-0000","Sales","major",10320,5.6,44.71,93000,2.5
"34","US","1","21","Traditional Energy","43-0000","Administry","major",42770,2,21.96,45670,0.8
"35","US","1","21","Traditional Energy","45-0000","Farming","major",120,20.7,21.63,45000,6.8
"36","US","1","21","Traditional Energy","47-0000","Install","major",235230,1.4,25.77,53610,0.5
